filename,label,frame_start,frame_end
American Beauty - 00015.avi,SitUp,1,266
American Beauty - 00015.avi,SitUp,1,266
American Beauty - 00031.avi,SitUp,1,366
American Beauty - 00031.avi,SitUp,1,366
American Beauty - 00170.avi,GetOutCar,1,91
American Beauty - 00209.avi,StandUp,1,191
American Beauty - 00209.avi,StandUp,1,191
American Beauty - 00222.avi,StandUp,1,116
American Beauty - 00222.avi,StandUp,1,116
American Beauty - 00443.avi,GetOutCar,75,225
American Beauty - 00443.avi,GetOutCar,1,691
American Beauty - 00450.avi,AnswerPhone,1335,1685
American Beauty - 00454.avi,AnswerPhone,1,41
American Beauty - 00706.avi,Kiss,1,91
American Beauty - 00706.avi,Kiss,1,91
American Beauty - 00832.avi,Kiss,590,1370
American Beauty - 00951.avi,SitUp,500,650
American Beauty - 01135.avi,SitUp,1,141
American Beauty - 01135.avi,SitUp,1,141
American Beauty - 01345.avi,SitUp,1,41
American Beauty - 01345.avi,SitUp,1,41
American Beauty - 01358.avi,Kiss,1,115
American Beauty - 01358.avi,Kiss,1,241
American Beauty - 01459.avi,Kiss,600,1100
American Beauty - 01500.avi,SitDown,440,570
American Beauty - 01500.avi,StandUp,146,260
American Beauty - 01500.avi,StandUp,1,616
American Beauty - 01597.avi,StandUp,444,718
American Beauty - 01733.avi,SitUp,1,315
American Beauty - 01733.avi,SitUp,1,315
American Beauty - 01891.avi,GetOutCar,100,400
American Beauty - 01891.avi,GetOutCar,1,741
American Beauty - 02006.avi,StandUp,1,366
American Beauty - 02037.avi,Kiss,1,400
American Beauty - 02037.avi,Kiss,1,866
American Beauty - 02061.avi,SitUp,1,116
American Beauty - 02067.avi,StandUp,1,116
American Beauty - 02164.avi,Kiss,285,460
American Beauty - 02164.avi,Kiss,1,466
American Beauty - 02217.avi,Kiss,1,291
American Beauty - 02217.avi,Kiss,1,291
American Beauty - 02226.avi,Kiss,1,430
American Beauty - 02226.avi,Kiss,1,541
American Beauty - 02273.avi,HugPerson,1,116
American Beauty - 02273.avi,HugPerson,1,116
American Beauty - 02279.avi,HugPerson,1,116
American Beauty - 02279.avi,HugPerson,1,116
As Good As It Gets - 00259.avi,SitDown,10,125
As Good As It Gets - 01311.avi,StandUp,1,180
As Good As It Gets - 01400.avi,Kiss,620,730
As Good As It Gets - 01619.avi,Kiss,1,50
As Good As It Gets - 01766.avi,Kiss,1,424
As Good As It Gets - 01834.avi,SitDown,150,450
As Good As It Gets - 01935.avi,StandUp,1,209
As Good As It Gets - 02002.avi,Kiss,1,664
As Good As It Gets - 02532.avi,Kiss,1,400
Being John Malkovich - 00079.avi,StandUp,1,116
Being John Malkovich - 00719.avi,Kiss,1,500
Being John Malkovich - 00719.avi,Kiss,1,766
Being John Malkovich - 01063.avi,AnswerPhone,1,80
Being John Malkovich - 01063.avi,AnswerPhone,1,166
Being John Malkovich - 01077.avi,HandShake,1,166
Being John Malkovich - 01077.avi,HandShake,1,166
Being John Malkovich - 01293.avi,GetOutCar,292,369
Being John Malkovich - 01293.avi,HugPerson,343,444
Being John Malkovich - 01433.avi,Kiss,1,516
Being John Malkovich - 01563.avi,AnswerPhone,1,491
Being John Malkovich - 01563.avi,AnswerPhone,1,491
Being John Malkovich - 01887.avi,AnswerPhone,1,191
Being John Malkovich - 01887.avi,AnswerPhone,1,191
Being John Malkovich - 02001.avi,Kiss,1,215
Being John Malkovich - 02087.avi,HandShake,1,116
Being John Malkovich - 02087.avi,HandShake,1,116
Being John Malkovich - 02669.avi,HugPerson,1,141
Big Fish - 00060.avi,StandUp,1,89
Big Fish - 00077.avi,Kiss,1,126
Big Fish - 00077.avi,Kiss,1,305
Big Fish - 00559.avi,HugPerson,1,353
Big Fish - 00614.avi,StandUp,1,137
Big Fish - 00622.avi,SitDown,1,89
Big Fish - 00664.avi,HandShake,1,137
Big Fish - 00674.avi,HandShake,40,110
Big Fish - 00674.avi,HugPerson,1,329
Big Fish - 01141.avi,StandUp,1,880
Big Fish - 01233.avi,HandShake,1,448
Big Fish - 01297.avi,StandUp,1,904
Big Fish - 01316.avi,SitDown,1,161
Big Fish - 01318.avi,HugPerson,1,161
Big Fish - 01582.avi,GetOutCar,1,137
Big Fish - 01592.avi,Kiss,1,650
Big Fish - 01592.avi,Kiss,1,976
